date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:23	52684/52684	---M--	200	added ('OK')	image/jpeg	etag:%22bd3ef9d1fe13ee4232cab24d7444911c-ssl%22	http://daniels.bitballoon.com/img/blog/3.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/blog/3.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:25	56176/56176	---M--	200	added ('OK')	image/jpeg	etag:%228c56286f717d398e6ee1c30b995f08ca-ssl%22	http://daniels.bitballoon.com/img/blog/2.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/blog/2.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:26	233080/233080	---M--	200	added ('OK')	image/jpeg	etag:%22d02c0ce59857327100001364e774154e-ssl%22	http://daniels.bitballoon.com/img/hero.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/hero.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:27	28556/28556	---M--	200	added ('OK')	image/jpeg	etag:%220943551d940bf9f6b49ee5dbde930141-ssl%22	http://daniels.bitballoon.com/img/blog/4.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/blog/4.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:30	86341/86341	---M-Z	200	added ('OK')	application/javascript	etag:W/%225759b652-15145%22	https://code.jquery.com/jquery-3.0.0.min.js	C:/My%20Web%20Sites/portfolio/code.jquery.com/jquery-3.0.0.min.js	(from http://daniels.bitballoon.com/particles.html)
01:40:35	1418/1418	---M-Z	200	added ('OK')	application/javascript	etag:%22a373559b1e5827a1a3f44efd82764729-ssl-df%22	http://daniels.bitballoon.com/js/scrollIt.min.js	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/js/scrollIt.min.js	(from http://daniels.bitballoon.com/particles.html)
01:40:36	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%22de7e372104543a7f474f79429d52f241-ssl-df%22	http://daniels.bitballoon.com/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/js/jquery.magnific-popup.min.js	(from http://daniels.bitballoon.com/particles.html)
01:40:37	42854/42854	---M-Z	200	added ('OK')	application/javascript	etag:%22f6d2e4345775dbceaa2ac6dfb3f3aba7-ssl-df%22	http://daniels.bitballoon.com/js/owl.carousel.min.js	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/js/owl.carousel.min.js	(from http://daniels.bitballoon.com/particles.html)
01:40:37	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%228d856d04b0f859e53a1d7f4f1345beda-ssl-df%22	http://daniels.bitballoon.com/js/jquery.stellar.min.js	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/js/jquery.stellar.min.js	(from http://daniels.bitballoon.com/particles.html)
01:40:39	5532/5532	---M-Z	200	added ('OK')	application/javascript	etag:%2233fd73d03b005c05d95eac216d169e07-ssl-df%22	http://daniels.bitballoon.com/js/animated.headline.js	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/js/animated.headline.js	(from http://daniels.bitballoon.com/particles.html)
